OBJECTID,Join_Count,TARGET_FID,adcode,level1,center_lng,center_lat,full_name,short_name,ADMINCODE,TYPE,CITYCODE,cid,Shape_Length,Shape_Area
1,1,1,652900,city,80.260604999999998,41.168779000000001,阿克苏地区,阿克苏,652923,0137,652900,162,2196404.456244760200000,127430289371.369250000000000
2,1,2,659002,city,81.280527000000006,40.547652999999997,阿拉尔市,阿拉尔,659002,0137,659200,164,370140.645976488360000,4344038393.596500400000000
3,1,3,152900,city,105.728956999999990,38.851920999999997,阿拉善盟,阿拉善盟,152922,0137,152900,29,3149691.957413282200000,240005794659.793150000000000
4,1,4,654300,city,88.141253000000006,47.844923999999999,阿勒泰地区,阿勒泰,654324,0137,654300,163,1811256.067410695400000,117718587940.439940000000000
5,1,5,542500,city,80.105804000000006,32.501111000000002,阿里地区,阿里,542524,0137,542500,306,4554734.530514715200000,337208088311.710270000000000
6,1,6,610900,city,109.029113000000000,32.684809999999999,安康市,安康,610923,0137,610900,330,1113831.407745406700000,23542414560.774731000000000
7,1,7,340800,city,117.115101000000000,30.531918999999998,安庆市,安庆,340881,0137,340800,70,731293.452749070480000,15382112771.679449000000000
8,1,8,520400,city,105.947594000000000,26.253088000000002,安顺市,安顺,520421,0137,520400,361,824791.498532768220000,9225570461.026519800000000
9,1,9,410500,city,114.392392000000000,36.097577000000001,安阳市,安阳,410581,0137,410500,205,767769.078303502990000,7359208269.549684500000000
10,1,10,210300,city,122.994328999999990,41.108646999999998,鞍山市,鞍山,210321,0137,210300,326,797931.341352650900000,9286665328.474741000000000
11,1,11,150800,city,107.387657000000000,40.743212999999997,巴彦淖尔市,巴彦淖尔,150824,0137,150800,24,1325553.496132604300000,64899653672.498161000000000
12,1,12,511900,city,106.747477000000000,31.867902999999998,巴中市,巴中,511922,0137,511900,45,725629.754784775670000,12301270820.751970000000000
13,1,13,652800,city,86.145296999999999,41.764114999999997,巴音郭楞蒙古自治州,巴州,652828,0137,652800,159,4176633.502577603800000,470333445199.063780000000000
14,1,14,513200,city,102.224653000000000,31.899412999999999,阿坝藏族羌族自治州,坝州,513225,0137,513200,59,2337999.916376339700000,82778134134.069000000000000
15,1,15,220800,city,122.838714000000000,45.619883999999999,白城市,白城,220821,0137,220800,35,1006340.659154762400000,25722845431.685116000000000
16,1,16,469025,city,109.451483999999990,19.224823000000001,白沙黎族自治县,白沙,469030,0137,468200,244,285953.561851782200000,2122472169.557313400000000
17,1,17,220600,city,126.414730000000010,41.943972000000002,白山市,白山,220621,0137,220600,36,950595.067405139680000,17451616942.228584000000000
18,1,18,620400,city,104.138771000000010,36.545261000000004,白银市,白银,620423,0137,620400,287,974164.038460568640000,20021954842.532417000000000
19,1,19,451000,city,106.618202000000000,23.902329999999999,百色市,百色,451028,0137,451000,142,1824512.971443557400000,36235630759.687752000000000
20,1,20,340300,city,117.388512000000010,32.916629999999998,蚌埠市,蚌埠,340323,0137,340300,79,511130.306441620570000,5960919170.453181300000000
21,1,21,150200,city,109.953504000000000,40.621156999999997,包头市,包头,150223,0137,150200,21,1105659.010465922800000,27780122778.546417000000000
22,1,22,610300,city,107.237742999999990,34.363183999999997,宝鸡市,宝鸡,610327,0137,610300,331,923063.592874202760000,18122887890.504337000000000
23,1,23,130600,city,115.464589000000000,38.874434000000001,保定市,保定,130623,0137,130600,189,946952.830087852430000,22204670011.083424000000000
24,1,24,530500,city,99.161760999999998,25.112045999999999,保山市,保山,530522,0137,530500,4,974641.097943639850000,19062694141.215702000000000
25,1,25,469029,city,109.702590000000000,18.639130000000002,保亭黎族苗族自治县,保亭,469035,0137,468600,234,222151.072848844690000,1163932872.395697800000000
26,1,26,450500,city,109.120161000000000,21.481290999999999,北海市,北海,450521,0137,450500,133,659509.814180998710000,3408824735.635312100000000
27,1,27,110000,city,116.407394000000000,39.904210999999997,北京市,北京,110116,0137,110100,30,889525.447612522980000,16404250125.183725000000000
28,1,28,659004,city,87.837074999999999,47.332642999999997,北屯市,北屯,654324,0137,654300,163,1811256.067410695400000,117718587940.439940000000000
29,1,29,210500,city,123.685142000000000,41.486981000000000,本溪市,本溪,210522,0137,210500,317,751538.798469612610000,8404717977.607668900000000
30,1,30,520500,city,105.291702000000000,27.283908000000000,毕节市,毕节,522424,0137,522400,308,1319439.687351872700000,26852041072.851727000000000
31,1,31,371600,city,117.970699000000000,37.381979999999999,滨州市,滨州,371623,0137,371600,94,779894.716150913040000,8968906362.009948700000000
32,1,32,341600,city,115.778670000000010,33.844591999999999,亳州市,亳州,341600,0137,341600,67,600645.659138992310000,8530340658.116301500000000
33,1,33,652700,city,82.066362999999996,44.906039000000000,博尔塔拉蒙古自治州,博州,652723,0137,652700,152,926614.741255605010000,25009222453.361183000000000
34,1,34,130900,city,116.838834000000010,38.304476999999999,沧州市,沧州,130982,0137,130900,194,868213.551885415570000,14121690860.837925000000000
35,1,35,542100,city,97.172020000000003,31.140968999999998,昌都市,昌都,542125,0137,542100,303,3111898.188107524500000,110307681824.977490000000000
36,1,36,652300,city,87.308223999999996,44.011181999999998,昌吉回族自治州,昌吉,652324,0137,652300,160,1961330.224738456500000,73696614170.214188000000000
37,1,37,469026,city,109.055739000000000,19.298183999999999,昌江黎族自治县,昌江,469031,0137,468300,239,276154.074116915700000,1594457533.331003200000000
38,1,38,430700,city,111.698784000000000,29.031654000000000,常德市,常德,430726,0137,430700,265,978857.939321177550000,18184056139.490170000000000
39,1,39,320400,city,119.974061000000010,31.811226000000001,常州市,常州,320400,0137,320400,168,573665.363263773030000,4368885263.473558400000000
40,1,40,211300,city,120.450879000000000,41.573762000000002,朝阳市,朝阳,211322,0137,211300,316,1044485.606558989400000,19675542947.009998000000000
41,1,41,445100,city,116.622444000000000,23.657261999999999,潮州市,潮州,445122,0137,445100,127,491435.094132887430000,3103643995.738380900000000
42,1,42,431000,city,113.014984000000000,25.770531999999999,郴州市,郴州,431028,0137,431000,275,1187262.951991089200000,19321716274.346920000000000
43,1,43,510100,city,104.066794000000000,30.572893000000001,成都市,成都,510182,0137,510100,49,805324.574880793570000,12048578000.163404000000000
44,1,44,130800,city,117.962749000000000,40.952942000000000,承德市,承德,130828,0137,130800,193,1424095.201942312100000,39469333050.065903000000000
45,1,45,469023,city,110.006754000000000,19.738520999999999,澄迈县,澄迈县,469027,0137,469900,241,386760.413333501960000,2053274829.839868500000000
46,1,46,341700,city,117.491592000000000,30.664778999999999,池州市,池州,341723,0137,341700,74,631724.809609342600000,8375447847.139469100000000
47,1,47,150400,city,118.886940000000000,42.257843000000001,赤峰市,赤峰,150421,0137,150400,25,2037726.529417455700000,86160461542.660217000000000
48,1,48,451400,city,107.365094000000000,22.377253000000000,崇左市,崇左,451425,0137,451400,135,918228.159325736340000,17346805985.656750000000000
49,1,49,341100,city,118.327944000000000,32.255636000000003,滁州市,滁州,341182,0137,341100,77,930734.602854152560000,13486835337.013950000000000
50,1,50,532300,city,101.527992000000000,25.045513000000000,楚雄彝族自治州,楚雄,532326,0137,532300,13,1128034.811567135200000,28430142896.488678000000000
51,1,51,511700,city,107.467758000000000,31.209121000000000,达州市,达州,511781,0137,511700,57,1077222.893423569900000,16594649096.396049000000000
52,1,52,532900,city,100.267638000000010,25.606486000000000,大理白族自治州,大理,532931,0137,532900,5,1234965.755409036100000,28351472778.691963000000000
53,1,53,210200,city,121.614847999999990,38.914085999999998,大连市,大连,210283,0137,210200,314,2128734.892192539800000,13131522637.243683000000000
54,1,54,230600,city,125.103784000000000,46.589309000000000,大庆市,大庆,230623,0137,230600,352,1110321.531223549000000,21165633644.092907000000000
55,1,55,140200,city,113.300129000000000,40.076763000000000,大同市,大同,140222,0137,140200,103,912402.805078897860000,14095450845.085752000000000
56,1,56,232700,city,124.711526000000010,52.335262000000000,大兴安岭地区,大兴安岭,232722,0137,232700,351,1730162.423569131600000,64738889013.742920000000000
57,1,57,210600,city,124.354450000000000,40.000787000000003,丹东市,丹东,210624,0137,210600,313,854298.172125454060000,14804076048.559654000000000
58,1,58,533100,city,98.584895000000003,24.433353000000000,德宏傣族景颇族自治州,德宏,533122,0137,533100,6,728778.597759233900000,11176052050.505314000000000
59,1,59,510600,city,104.397893999999990,31.126854999999999,德阳市,德阳,510683,0137,510600,48,581217.204081446980000,5943326924.762515100000000
60,1,60,371400,city,116.359381000000000,37.436656999999997,德州市,德州,371423,0137,371400,87,745106.529223782010000,10327120787.837734000000000
61,1,61,533400,city,99.702583000000004,27.818807000000000,迪庆藏族自治州,迪庆,533421,0137,533400,17,1324948.253110768300000,23172154283.597153000000000
62,1,62,469021,city,110.359339000000010,19.681404000000001,定安县,定安县,469025,0137,469700,236,257273.566541966200000,1181367424.773947000000000
63,1,63,621100,city,104.592225000000000,35.606977999999998,定西市,定西,621100,0137,621100,281,1238587.002830842000000,19641424692.145824000000000
64,1,64,469007,city,108.651815000000000,19.095351000000001,东方市,东方,469007,0137,469600,230,296142.137589251560000,2258281475.964850900000000
65,1,65,441900,city,113.751799000000010,23.020672999999999,东莞市,东莞,441900,0137,441900,112,273689.203727008310000,2463811422.273434600000000
66,1,66,370500,city,118.674614000000010,37.433962999999999,东营市,东营,370500,0137,370500,84,659762.729617750270000,7349993339.020204500000000
67,1,67,150600,city,109.781327000000000,39.608266000000000,鄂尔多斯市,鄂尔多斯,150625,0137,150600,27,1816478.780428031500000,86728242110.193268000000000
68,1,68,420700,city,114.894935000000000,30.391141000000001,鄂州市,鄂州,420700,0137,420700,259,273085.335406669240000,1583081095.173907000000000
69,1,69,422800,city,109.488172000000010,30.272155999999999,恩施土家族苗族自治州,恩施州,422822,0137,422800,252,1337069.573634369100000,24076776463.039967000000000
70,1,70,450600,city,108.353846000000000,21.686859999999999,防城港市,防城港,450621,0137,450600,146,883791.618616731840000,5955515953.827735900000000
71,1,71,440600,city,113.121435000000010,23.021477999999998,佛山市,佛山,440600,0137,440600,115,535017.575560899920000,3790333721.552550800000000
72,1,72,350100,city,119.296389000000000,26.074268000000000,福州市,福州,350123,0137,350100,297,2041742.817909901300000,11583392386.651962000000000
73,1,73,210400,city,123.957207999999990,41.880871999999997,抚顺市,抚顺,210423,0137,210400,315,703430.895979481170000,11280514926.896334000000000
74,1,74,361000,city,116.358181000000000,27.949217000000001,抚州市,抚州,361029,0137,361000,183,963162.757359826120000,18814169818.007851000000000
75,1,75,210900,city,121.670272999999990,42.021602000000001,阜新市,阜新,210922,0137,210900,325,618823.169003037740000,10382687385.220591000000000
76,1,76,341200,city,115.814504000000000,32.890478999999999,阜阳市,阜阳,341222,0137,341200,81,747130.130856119680000,10122843226.403969000000000
77,1,77,623000,city,102.910995000000000,34.983409000000002,甘南藏族自治州,甘南,623001,0137,623000,286,1939978.597169952700000,36494001344.722008000000000
78,1,78,513300,city,101.962310000000000,30.049520000000001,甘孜藏族自治州,甘孜,513333,0137,513300,52,3276983.339940147000000,149505377218.948180000000000
79,1,79,360700,city,114.933546000000010,25.830694000000001,赣州市,赣州,360730,0137,360700,187,1554193.001875544900000,39362741696.544777000000000
80,1,80,640400,city,106.242610000000000,36.015855000000002,固原市,固原,640400,0137,640400,64,897551.651045693320000,11260381718.456034000000000
81,1,81,511600,city,106.633088000000000,30.456223999999999,广安市,广安,511600,0137,511600,47,658637.218464894800000,6352330331.542031300000000
82,1,82,510800,city,105.843357000000000,32.435434999999998,广元市,广元,510822,0137,510800,46,948380.354088697470000,16332837139.877804000000000
83,1,83,440100,city,113.264385000000000,23.129110000000001,广州市,广州,440183,0137,440100,116,632881.159611357610000,7202678580.347278600000000
84,1,84,450800,city,109.598926000000010,23.111529999999998,贵港市,贵港,450821,0137,450800,143,752164.150906302620000,10609377581.458639000000000
85,1,85,520100,city,106.630153000000010,26.647660999999999,贵阳市,贵阳,520121,0137,520100,360,652693.998369299460000,8042343846.907795000000000
86,1,86,450300,city,110.179953000000000,25.234479000000000,桂林市,桂林,450324,0137,450300,138,1158159.627309353300000,27679008888.915249000000000
87,1,87,632600,city,100.244808000000010,34.471431000000003,果洛藏族自治州,果洛,632621,0137,632600,338,1822017.517285305100000,73855169571.171097000000000
88,1,88,230100,city,126.534966999999990,45.803775000000002,哈尔滨市,哈尔滨,230126,0137,230100,350,1748831.879368082600000,53083606796.111824000000000
89,1,89,652200,city,93.515224000000003,42.819541000000001,哈密市,哈密,652223,0137,652200,155,1678425.196537339600000,137097630015.710170000000000
90,1,90,632200,city,100.900997000000000,36.954413000000002,海北藏族自治州,海北,632224,0137,632200,340,1752534.031679547200000,32153943622.193882000000000
91,1,91,632100,city,102.104287000000000,36.502039000000003,海东市,海东,632123,0137,632100,339,732808.177114015560000,13054155480.405224000000000
92,1,92,460100,city,110.198286000000000,20.044412000000001,海口市,海口,460100,0137,460100,240,381722.005320716530000,2228360399.587390400000000
93,1,93,632500,city,100.622692000000000,36.296529000000000,海南藏族自治州,海南州,632523,0137,632500,341,1322850.981596478500000,45428065349.040642000000000
94,1,94,632800,city,97.369750999999994,37.377139000000000,海西蒙古族藏族自治州,海西州,632800,0137,632800,342,4379732.758666639200000,308460656089.223270000000000
95,1,95,130400,city,114.538959000000010,36.625594000000000,邯郸市,邯郸,130481,0137,130400,199,702202.315627044180000,12049091595.518248000000000
96,1,96,610700,city,107.023050000000000,33.067225000000001,汉中市,汉中,610729,0137,610700,334,1230795.233714686700000,27078648064.570129000000000
97,1,97,330100,city,120.209789000000000,30.246919999999999,杭州市,杭州,330100,0137,330100,221,963890.716522094100000,16847911053.335283000000000
98,1,98,340100,city,117.227219000000010,31.820591000000000,合肥市,合肥,340121,0137,340100,69,555009.579930206410000,7483801963.137678100000000
99,1,99,653200,city,79.922211000000004,37.114156999999999,和田地区,和田,653227,0137,653200,154,2670515.931225293800000,249138207303.341520000000000
100,1,100,451200,city,108.085261000000000,24.692931000000002,河池市,河池,451221,0137,451200,140,1493170.062467061200000,33487037187.672054000000000
101,1,101,441600,city,114.700961000000010,23.743686000000000,河源市,河源,441622,0137,441600,123,916926.695941834240000,15658668863.463560000000000
102,1,102,371700,city,115.480656000000000,35.233750000000001,菏泽市,菏泽,371725,0137,371700,99,617735.953852549540000,12198797712.072241000000000
103,1,103,451100,city,111.566871000000010,24.403528000000001,贺州市,贺州,451123,0137,451100,144,903014.832184777480000,11745655956.472023000000000
104,1,104,410600,city,114.297309000000000,35.748325000000001,鹤壁市,鹤壁,410600,0137,410600,216,290115.940097449640000,2140844442.497229100000000
105,1,105,230400,city,130.297943000000000,47.350189000000000,鹤岗市,鹤岗,230421,0137,230400,356,871885.986173628250000,14646225354.878611000000000
106,1,106,231100,city,127.528293000000010,50.245128999999999,黑河市,黑河,231121,0137,231100,357,1821098.724736040700000,66882688717.920509000000000
107,1,107,131100,city,115.670177000000000,37.738920000000000,衡水市,衡水,131124,0137,131100,197,639788.942298673560000,8826882505.620378500000000
108,1,108,430400,city,112.572018000000000,26.893367999999999,衡阳市,衡阳,430423,0137,430400,273,918566.573583318040000,15305927685.549812000000000
109,1,109,532500,city,103.374893000000000,23.363244999999999,红河哈尼族彝族自治州,红河,532526,0137,532500,15,1583674.491363972200000,32153141818.064037000000000
110,1,110,150100,city,111.749995000000000,40.842356000000002,呼和浩特市,呼和浩特,150125,0137,150100,23,733422.741661890640000,17173817156.665512000000000
111,1,111,150700,city,119.765558000000000,49.211576000000001,呼伦贝尔市,呼伦贝尔,150784,0137,150700,22,3725394.527618618700000,252872617754.424900000000000
112,1,112,211400,city,120.836939000000000,40.711039999999997,葫芦岛市,葫芦岛,211400,0137,211400,321,756875.211213552630000,10299461203.425934000000000
113,1,113,330500,city,120.086809000000000,30.894410000000001,湖州市,湖州,330522,0137,330500,223,483796.628212841290000,5832390249.245692300000000
114,1,114,431200,city,110.001923000000010,27.569517000000001,怀化市,怀化,431222,0137,431200,267,1809128.570460263900000,27577335222.801052000000000
115,1,115,320800,city,119.113185000000000,33.551051999999999,淮安市,淮安,320826,0137,320800,173,678873.878770603100000,9993805289.177005800000000
116,1,116,340600,city,116.798265000000000,33.955843999999999,淮北市,淮北,340600,0137,340600,75,431847.035116127170000,2733255602.447720500000000
117,1,117,340400,city,117.018399000000000,32.587116999999999,淮南市,淮南,340121,0137,340100,69,555009.579930206410000,7483801963.137678100000000
118,1,118,421100,city,114.872198999999990,30.453666999999999,黄冈市,黄冈,421181,0137,421100,261,963857.899839284010000,17459629574.552345000000000
119,1,119,632300,city,102.015248000000000,35.519548000000000,黄南藏族自治州,黄南州,632321,0137,632300,345,1001774.995857137600000,18244281788.092793000000000
120,1,120,341000,city,118.338272000000000,29.715185000000002,黄山市,黄山,341000,0137,341000,83,668825.395237891470000,9678027365.632606500000000
121,1,121,420200,city,115.038962000000000,30.201038000000000,黄石市,黄石,420281,0137,420200,262,433849.112821937480000,4583646285.069273900000000
122,1,122,441300,city,114.415612000000000,23.112380999999999,惠州市,惠州,441324,0137,441300,117,1086506.488868126400000,11353091244.022552000000000
123,1,123,230300,city,130.969333000000010,45.295074999999997,鸡西市,鸡西,230381,0137,230300,355,1219872.877386639600000,22492307439.425179000000000
124,1,124,360800,city,114.966567000000000,27.090762999999999,吉安市,吉安,360824,0137,360800,181,1077850.839935950900000,25274507934.935040000000000
125,1,125,220200,city,126.549572000000000,43.837882999999998,吉林市,吉林,220283,0137,220200,31,1057259.145591451600000,27794473666.878929000000000
126,1,126,370100,city,117.120098000000000,36.651200000000003,济南市,济南,370126,0137,370100,91,669208.339081979240000,7998710008.896630300000000
127,1,127,370800,city,116.587282000000000,35.414982000000002,济宁市,济宁,370832,0137,370800,92,917180.608797729950000,11097655293.922979000000000
128,1,128,419001,city,112.602256000000000,35.067199000000002,济源市,济源,410821,0137,410800,212,504122.032950906780000,5913673441.296134900000000
129,1,129,230800,city,130.318878000000010,46.799776999999999,佳木斯市,佳木斯,230833,0137,230800,348,1977968.446668373400000,32741017265.140694000000000
130,1,130,330400,city,120.755470000000000,30.746191000000000,嘉兴市,嘉兴,330421,0137,330400,219,423434.129192295250000,4033921988.102144700000000
131,1,131,620200,city,98.289418999999995,39.772554000000000,嘉峪关市,嘉峪关,620200,0137,620200,279,196551.535544982180000,1326995658.728397600000000
132,1,132,440700,city,113.081542000000000,22.578990000000001,江门市,江门,440784,0137,440700,122,1085887.138123363300000,9349867873.137800200000000
133,1,133,410800,city,113.241823000000000,35.215893000000001,焦作市,焦作,410821,0137,410800,212,504122.032950906780000,5913673441.296134900000000
134,1,134,445200,city,116.372708000000000,23.549700999999999,揭阳市,揭阳,445221,0137,445200,118,592817.000699486700000,5237193065.643881800000000
135,1,135,620300,city,102.188117000000010,38.520716999999998,金昌市,金昌,620321,0137,620300,289,443771.310840868330000,7112476327.849104900000000
136,1,136,330700,city,119.647229000000000,29.079208000000001,金华市,金华,330726,0137,330700,227,717354.116845939770000,10930070039.626369000000000
137,1,137,210700,city,121.126846000000000,41.095685000000003,锦州市,锦州,210726,0137,210700,324,733439.840127347620000,9913279933.037899000000000
138,1,138,140500,city,112.851485999999990,35.490684000000002,晋城市,晋城,140521,0137,140500,107,559425.643144010100000,9415188515.125238400000000
139,1,139,140700,city,112.752652000000000,37.687356999999999,晋中市,晋中,140725,0137,140700,106,997987.490603694810000,16405653885.619038000000000
140,1,140,420800,city,112.199427000000000,31.035395000000001,荆门市,荆门,420881,0137,420800,257,702751.453700780170000,12328493996.478630000000000
141,1,141,421000,city,112.239746000000000,30.335184000000002,荆州市,荆州,421000,0137,421000,256,1042772.882196079500000,14092287595.230234000000000
142,1,142,360200,city,117.178222000000010,29.268944999999999,景德镇市,景德镇,360222,0137,360200,185,501787.664842587370000,5266602887.903138200000000
143,1,143,360400,city,115.952914000000010,29.662116999999999,九江市,九江,360430,0137,360400,179,1072006.867342744000000,18831968732.247982000000000
144,1,144,620900,city,98.493926999999999,39.732795000000003,酒泉市,酒泉,620923,0137,620900,288,2716165.239211956500000,167781980611.650480000000000
145,1,145,653100,city,75.989740999999995,39.470460000000003,喀什地区,喀什,653129,0137,653100,156,3121701.245139810300000,110050360724.597600000000000
146,1,146,410200,city,114.307677000000000,34.797966000000002,开封市,开封,410225,0137,410200,207,517000.220988984390000,6257641968.482384700000000
147,1,147,659004,city,81.044542000000007,43.944797999999999,可克达拉市,可克达拉,654003,0137,654000,149,1769083.345029460500000,56574359741.151321000000000
148,1,148,650200,city,84.889206999999999,45.579887999999997,克拉玛依市,克拉玛依,650200,0137,650200,151,632049.147639843750000,7684757172.231794400000000
149,1,149,653000,city,76.167818999999994,39.714525999999999,克孜勒苏柯尔克孜自治州,克州,653001,0137,653000,150,2434907.135778793600000,69941388266.618408000000000
150,0,150,820000,city,113.533265000000000,22.178560999999998,澳门,澳门,,,,0,0.000000000000000,0.000000000000000
151,1,151,469003,city,109.576781999999990,19.517486000000002,儋州,儋州,469003,0137,469300,235,547280.608374945240000,3236518325.321319100000000
152,1,152,530100,city,102.832891000000000,24.880095000000001,昆明市,昆明,530100,0137,530100,9,1274413.029304871100000,20998718500.556065000000000
153,1,153,540100,city,91.172148000000007,29.652341000000000,拉萨市,拉萨,540122,0137,540100,301,1124831.181316121200000,29605083714.618076000000000
154,1,154,451300,city,109.221464999999990,23.750305999999998,来宾市,来宾,451324,0137,451300,136,947620.805464004630000,13387265303.055626000000000
